gene	mid	chrom	start	end
ZBTB48	6644700.5	1	6640061	6649340
KLHL21	6662725.5	1	6650784	6674667
PHF13	6678919	1	6673745	6684093
THAP3	6690286	1	6684926	6695646
DNAJC11	6728106	1	6694228	6761984
CAMTA1	7337575	1	6845384	7829766
VAMP3	7836410.5	1	7831329	7841492
PER3	7874808.5	1	7844380	7905237
UTS2	7908357.5	1	7903143	7913572
TNFRSF9	7989589.5	1	7975954	8003225
PARK7	8029958	1	8014351	8045565
ERRFI1	8075416	1	8064464	8086368
RP11-431K24.1	8134780	1	8086796	8182764
RP11-431K24.3	8272001	1	8268730	8275272
SLC45A1	8391056.5	1	8377886	8404227
RERE	8645079.5	1	8412457	8877702
ENO1	8930184	1	8921059	8939309
CA6	9020538.5	1	9005926	9035151
SLC2A7	9074881.5	1	9063359	9086404
SLC2A5	9121851.5	1	9095166	9148537
GPR157	9174796.5	1	9160364	9189229
H6PD	9313115	1	9294834	9331396
SPSB1	9391265	1	9352939	9429591
SLC25A33	9622389	1	9599541	9645237
TMEM201	9661955.5	1	9648980	9674931
PIK3CD	9750481	1	9711790	9789172
C1orf200	9713656	1	9712666	9714646
CLSTN1	9836834	1	9789084	9884584
CTNNBIP1	9939364	1	9908334	9970394
LZIC	9992818	1	9982171	10003465
NMNAT1	10024522.5	1	10003486	10045559
RBP7	10066671	1	10057264	10076078
UBE4B	10167093.5	1	10092890	10241297
KIF1B	10356262	1	10270863	10441661
PGD	10469425	1	10458649	10480201
APITD1	10501184.5	1	10490157	10512212
APITD1-CORT	10501184.5	1	10490157	10512212
CENPS-CORT	10501184.5	1	10490159	10512210
CENPS	10496683	1	10490500	10502866
CORT	10510867.5	1	10509776	10511959
DFFA	10524581	1	10516579	10532583
PEX14	10611580	1	10532345	10690815
CASZ1	10776684	1	10696661	10856707
C1orf127	11024311	1	11006528	11042094
TARDBP	11079439	1	11072401	11086477
AL109811.4	11081652	1	11072719	11090585
MASP2	11096935	1	11086580	11107290
SRM	11117361	1	11114641	11120081
EXOSC10	11143306.5	1	11126675	11159938
MTOR	11244578	1	11166592	11322564
ANGPTL7	11252718	1	11249398	11256038
UBIAD1	11344684.5	1	11333263	11356106
DISP3	11568432	1	11539223	11597641
PTCHD2	11568468	1	11539293	11597643
FBXO2	11706458.5	1	11697075	11715842
FBXO44	11718908	1	11714432	11723384
FBXO6	11729296	1	11724181	11734411
MAD2L2	11743122	1	11734537	11751707
DRAXIN	11768850	1	11751786	11785914
AGTRAP	11805500	1	11796141	11814859
C1orf167	11835743	1	11821844	11849642
MTHFR	11856378.5	1	11845780	11866977
CLCN6	11887144.5	1	11866153	11908136
NPPA	11907084	1	11905766	11908402
NPPB	11918254.5	1	11917521	11918988
KIAA2013	11983066.5	1	11979648	11986485
PLOD1	12014928.5	1	11994262	12035595
MFN2	12056904.5	1	12040238	12073571
MIIP	12085812.5	1	12079523	12092102
TNFRSF8	12163849	1	12123434	12204264
TNFRSF1B	12248172.5	1	12227060	12269285
VPS13D	12431093	1	12290087	12572099
DHRS3	12652838	1	12627939	12677737
AADACL4	12715831.5	1	12704566	12727097
AADACL3	12782422	1	12776118	12788726
C1orf158	12815005	1	12806163	12823847
PRAMEF12	12836516.5	1	12834984	12838049
PRAMEF1	12854161.5	1	12851546	12856777
PRAMEF11	12887866	1	12884468	12891264
HNRNPCL1	12907919.5	1	12907261	12908578
PRAMEF2	12919352.5	1	12916941	12921764
PRAMEF4	12942535	1	12939045	12946025
PRAMEF10	12955414	1	12952727	12958101
PRAMEF7	12978366	1	12976430	12980302
PRAMEF6	13002854	1	12998302	13007406
PRAMEF22	13036962	1	13035543	13038381
WI2-3308P17.2	13052696	1	13052394	13052998
HNRNPCL2	13183647	1	13182968	13184326
HNRNPCL4	13183431.5	1	13182991	13183872
PRAMEF26	13217968.5	1	13216356	13219581
PRAMEF3	13329944	1	13328196	13331692
PRAMEF5	13364438	1	13359819	13369057
PRAMEF8	13388705.5	1	13386646	13390765
PRAMEF9	13424683.5	1	13421176	13428191
PRAMEF13	13450106	1	13447556	13452656
PRAMEF18	13476105.5	1	13474689	13477522
PRAMEF16	13496757	1	13495254	13498260
PRAMEF21	13521504.5	1	13516066	13526943
PRAMEF15	13645480.5	1	13641973	13648988
PRAMEF14	13670961	1	13668411	13673511
PRAMEF19	13696941.5	1	13695525	13698358
PRAMEF17	13717590.5	1	13716092	13719089
PRAMEF20	13742355	1	13736907	13747803
LRRC38	13820994	1	13801445	13840543
PDPN	13927206	1	13909960	13944452
PRDM2	14089133.5	1	14026693	14151574
KAZN	14831913	1	14219287	15444539
TMEM51	15513002	1	15479028	15546976
FHAD1	15650273.5	1	15573768	15726779
RP3-467K16.2	15661774	1	15653174	15670374
EFHD2	15746615	1	15736391	15756839
CTRC	15770336	1	15764935	15775737
CELA2A	15790904.5	1	15783223	15798586
CELA2B	15805149.5	1	15792404	15817895
CASP9	15835178	1	15817327	15853029
DNAJC16	15886091	1	15853308	15918874
AGMAT	15905226.5	1	15898848	15911605
RNU7-179P	15934606.5	1	15934571	15934642
DDI2	15969767	1	15943995	15995539
RSC1A1	15987290.5	1	15986364	15988217
PLEKHM2	16036045.5	1	16010827	16061264
SLC25A34	16065395.5	1	16062900	16067891
TMEM82	16071697	1	16068917	16074477
FBLIM1	16098095.5	1	16083102	16113089
UQCRHL	16134753.5	1	16133664	16135843
RP11-169K16.9	16167808	1	16160972	16174644
SPEN	16220657	1	16174359	16266955
ZBTB17	16285495.5	1	16268364	16302627
SRARP	16333016.5	1	16330731	16335302
HSPB7	16343306	1	16340523	16346089
CLCNKA	16352957.5	1	16345370	16360545
CLCNKB	16377017	1	16370231	16383803
FAM131C	16392195.5	1	16384264	16400127
EPHA2	16466707	1	16450832	16482582
ARHGEF19	16531726.5	1	16524349	16539104
C1orf134	16555703	1	16555368	16556038
RSG1	16560926	1	16558193	16563659
CPLANE2	16560926	1	16558195	16563657
FBXO42	16626141.5	1	16573334	16678949
SZRD1	16701855	1	16679070	16724640
SPATA21	16738765.5	1	16713612	16763919
NECAP2	16776870	1	16767167	16786573
CROCCP3	16806563.5	1	16793929	16819198
AL355149.2	16865815.5	1	16865561	16866070
NBPF1	16914435.5	1	16888814	16940057
CROCCP2	16952905.5	1	16944755	16961056
AL137798.1	16999752.5	1	16999498	17000007
ESPNP	17032182.5	1	17017711	17046654
AL021920.2	17060701.5	1	17060447	17060956
CROCC	17183121	1	17066768	17299474
MST1L	17083386	1	17081403	17085369
RP11-108M9.2	17183840.5	1	17181900	17185781
RNU1-2	17222556.5	1	17222473	17222640
MFAP2	17304163.5	1	17300997	17307330
ATP13A2	17325438	1	17312453	17338423
SDHB	17362941	1	17345217	17380665
PADI2	17419593	1	17393256	17445930
RP11-380J14.1	17520195	1	17516276	17524114
PADI1	17552060.5	1	17531621	17572500
PADI3	17593160.5	1	17575593	17610728
PADI4	17662594.5	1	17634690	17690499
AC004824.2	17665788.5	1	17655507	17676070
PADI6	17713443	1	17698691	17728195
RCC2	17749738	1	17733256	17766220
ARHGEF10L	17945349.5	1	17866330	18024369
RP11-473A10.2	18060327.5	1	18044180	18076475
ACTL8	18117683	1	18081808	18153558
RP11-174G17.2	18396528.5	1	18392149	18400908
IGSF21	18569608.5	1	18434240	18704977
KLHDC7A	18810048	1	18807476	18812620
PAX7	19016430	1	18957500	19075360
TAS1R2	19176134.5	1	19166093	19186176
AL080251.1	19211691	1	19175767	19247615
ALDH4A1	19213599.5	1	19197924	19229275
IFFO2	19256977.5	1	19230775	19283180
UBR4	19468885	1	19401000	19536770
EMC1	19560102	1	19542158	19578046
MRTO4	19582327.5	1	19578033	19586622
AKR7L	19596523	1	19592476	19600570
AKR7A3	19612398	1	19609052	19615744
AKR7A2	19634549.5	1	19630459	19638640
PQLC2	19647307	1	19638820	19655794
CAPZB	19738651.5	1	19665270	19812033
MINOS1	19883606	1	19810897	19956315
NBL1	19954211	1	19923473	19984949
MINOS1-NBL1	19953490.5	1	19923561	19983420
HTR6	19998917.5	1	19991780	20006055
TMCO4	20067572	1	20008706	20126438
RNF186	20141146.5	1	20140522	20141771
OTUD3	20224222	1	20209006	20239438
PLA2G2E	20248306	1	20246502	20250110
PLA2G2A	20304416.5	1	20301924	20306909
PLA2G5	20386177.5	1	20354672	20417683
PLA2G2D	20442245.5	1	20438432	20446059
PLA2G2F	20471349	1	20465819	20476879
PLA2G2C	20495831.5	1	20487746	20503917
UBXN10	20517559.5	1	20512578	20522541
VWA5B1	20649399.5	1	20617412	20681387
LINC01141	20721173.5	1	20687070	20755277
CAMK2N1	20810798.5	1	20808884	20812713
MUL1	20830297.5	1	20825941	20834654
FAM43B	20880217.5	1	20878932	20881503
CDA	20930421	1	20915441	20945401
PINK1	20968976	1	20959948	20978004
DDOST	20983148.5	1	20978260	20988037
KIF17	21017508.5	1	20990507	21044510
SH2D5	21052777.5	1	21046225	21059330
HP1BP3	21091485	1	21069154	21113816
EIF4G3	21318083	1	21132785	21503381
ECE1	21607902.5	1	21543740	21672065
NBPF3	21789059.5	1	21766621	21811498
ALPL	21870385	1	21835865	21904905
RAP1GAP	21959282	1	21922708	21995856
USP48	22057445	1	22004791	22110099
LDLRAD2	22145236	1	22138758	22151714
HSPG2	22206264	1	22148738	22263790
CELA3B	22314324.5	1	22303514	22325135
CELA3A	22333590.5	1	22328149	22339032
AL031281.2	22389928.5	1	22352004	22427853
CDC42	22399279.5	1	22379120	22419439
WNT4	22457130	1	22443798	22470462
ZBTB40	22806490.5	1	22755331	22857650
EPHA8	22910072	1	22890057	22930087
C1QA	22964550	1	22962999	22966101
C1QC	22972363	1	22970123	22974603
C1QB	22983643	1	22979255	22988031
EPHB2	23142662.5	1	23037332	23247993
LACTBL1	23285683.5	1	23279536	23291831
TEX46	23339835	1	23337327	23342343
KDM1A	23378059	1	23345936	23410182
LUZP1	23457408.5	1	23410516	23504301
HTR1D	23519805	1	23518388	23521222
HNRNPR	23650546.5	1	23630264	23670829
ZNF436	23690938	1	23685941	23695935
C1orf213	23697002	1	23695727	23698277
TCEA3	23729393.5	1	23707554	23751233
ASAP3	23783058.5	1	23755056	23811061
E2F2	23845317	1	23832922	23857712
ID3	23885347	1	23884409	23886285
MDS2	23960441	1	23953822	23967060
RPL11	24020778.5	1	24018232	24023325
TCEB3	24079097	1	24069643	24088551
ELOA	24079097	1	24069645	24088549
PITHD1	24109808.5	1	24104895	24114722
LYPLA2	24119744.5	1	24117460	24122029
GALE	24124691.5	1	24122089	24127294
HMGCL	24146742.5	1	24128375	24165110
FUCA1	24183175.5	1	24171567	24194784
CNR2	24218434	1	24197016	24239852
PNRC2	24286640.5	1	24283329	24289952
SRSF10	24299355.5	1	24291294	24307417
MYOM3	24410595	1	24382525	24438665
IL22RA1	24457936	1	24446261	24469611
IFNLR1	24497548	1	24480647	24514449
RP11-10N16.2	24532456.5	1	24526728	24538185
GRHL3	24668392	1	24645812	24690972
STPG1	24713456.5	1	24683489	24743424
NIPAL3	24770875	1	24742284	24799466
RCAN3	24848185.5	1	24828841	24867530
NCMAP	24909210.5	1	24882602	24935819
SRRM1	24978982.5	1	24958207	24999758
CLIC4	25121331.5	1	25071848	25170815
RUNX3	25258807	1	25226002	25291612
SYF2	25554081.5	1	25549170	25558993
C1orf63	25571369	1	25568726	25574012
RSRP1	25616716	1	25568728	25664704
RHD	25627910	1	25598884	25656936
TMEM50A	25676630	1	25664408	25688852
RHCE	25722711.5	1	25688740	25756683
MACO1	25792024.5	1	25757349	25826700
TMEM57	25792055.5	1	25757409	25826702
LDLRAP1	25882724	1	25870071	25895377
MAN1C1	26028328.5	1	25943959	26112698
SEPN1	26135690	1	26126665	26144715
SELENON	26135691	1	26126667	26144715
AL020996.2	26144098	1	26137961	26150235
MTFR1L	26152282	1	26145131	26159433
AUNIP	26172176.5	1	26158404	26185949
PAQR7	26192722.5	1	26187701	26197744
STMN1	26222077	1	26210672	26233482
PAFAH2	26305453	1	26286258	26324648
EXTL1	26354665	1	26346375	26362955
SLC30A2	26368183.5	1	26363743	26372624
TRIM63	26386361	1	26377795	26394927
PDIK1L	26444845	1	26437656	26452034
FAM110D	26487982	1	26485511	26490453
C1orf232	26492862	1	26490652	26495072
AL391650.1	26497164.5	1	26496007	26498322
ZNF593	26496863	1	26496362	26497364
CNKSR1	26510135.5	1	26503894	26516377
CATSPER4	26523255.5	1	26517052	26529459
CEP85	26582995	1	26560691	26605299
SH3BGRL3	26606840	1	26605667	26608013
UBXN11	26626336.5	1	26607819	26644854
CD52	26645731	1	26644448	26647014
CRYBG2	26667380	1	26648189	26686571
AIM1L	26659463	1	26648348	26670578
ZNF683	26694569	1	26688125	26701013
LIN28A	26746741	1	26737269	26756213
DHDDS	26778279	1	26758773	26797785
HMGN2	26800702	1	26798941	26802463
RPS6KA1	26878886.5	1	26856252	26901521
ARID1A	27064164	1	27019727	27108601
PIGV	27119426	1	27113963	27124889
ZDHHC18	27168647	1	27153201	27184093
SFN	27190288.5	1	27189629	27190948
GPN2	27209706	1	27202624	27216788
GPATCH3	27221968	1	27216979	27226957
NUDC	27250041	1	27226729	27273353
NR0B2	27239218.5	1	27237980	27240457
C1orf172	27281475	1	27276051	27286899
KDF1	27281475	1	27276053	27286897
TRNP1	27323793.5	1	27320198	27327389
FAM46B	27335419	1	27331509	27339329
TENT5B	27335419	1	27331511	27339327
SLC9A1	27459389	1	27425306	27493472
WDTC1	27598065.5	1	27561007	27635124
TMEM222	27655763.5	1	27648636	27662891
SYTL1	27674469.5	1	27668511	27680428
MAP3K6	27687529	1	27681675	27693383
FCN3	27698459	1	27695603	27701315
CD164L2	27707768	1	27705666	27709870
GPR3	27720733	1	27719148	27722318
WASF2	27773699.5	1	27730730	27816669
AHDC1	27895744	1	27860546	27930942
FGR	27950181.5	1	27938575	27961788
IFI6	27995650.5	1	27992572	27998729
FAM76A	28071061.5	1	28052490	28089633
STX12	28125328.5	1	28099694	28150963
PPP1R8	28167738	1	28157289	28178187
AL109927.1	28177170	1	28177085	28177255
THEMIS2	28206125	1	28199054	28213196
RPA2	28229646	1	28218035	28241257
SMPDL3B	28273586	1	28261504	28285668
XKR8	28290290	1	28285973	28294607
EYA3	28356031	1	28296855	28415207
PTAFR	28497062	1	28473677	28520447
DNAJC8	28542751.5	1	28525967	28559536
AL353354.1	28527082.5	1	28527013	28527152
AL353354.2	28527244.5	1	28527070	28527419
ATP5IF1	28568018.5	1	28562620	28573417
ATPIF1	28563627.5	1	28562642	28564613
SESN2	28597520	1	28586038	28609002
MED18	28658995.5	1	28655513	28662478
PHACTR4	28761487	1	28696093	28826881
RCC1	28849133.5	1	28832455	28865812
TRNAU1AP	28892327	1	28879597	28905057
TAF12	28942716	1	28915835	28969597
RAB42	28920333.5	1	28918712	28921955
GMEB1	29020554.5	1	28995244	29045865
YTHDF2	29079710	1	29063133	29096287
OPRD1	29168216.5	1	29138654	29197779
EPB41	29330080.5	1	29213603	29446558
TMEM200B	29448193.5	1	29445940	29450447
SRSF4	29491377	1	29474255	29508499
MECR	29538419.5	1	29519385	29557454
PTPRU	29608176.5	1	29563028	29653325
RP3-437I16.1	29666379	1	29656130	29676628
RP5-893G23.1	30613782	1	30613108	30614456
MATN1	31190279	1	31184124	31196434
LAPTM5	31217991.5	1	31205316	31230667
RP5-1125N11.1	31285812.5	1	31283223	31288402
SDC3	31361961	1	31342314	31381608
PUM1	31471595.5	1	31404353	31538838
NKAIN1	31682496.5	1	31652592	31712401
SNRNP40	31751022	1	31732415	31769629
ZCCHC17	31803814.5	1	31769829	31837800
FABP3	31844084.5	1	31838472	31849697
SERINC2	31894969.5	1	31882412	31907527
AC114494.1	31902403	1	31902192	31902614
TINAGL1	32047686.5	1	32042086	32053287
HCRTR1	32090703	1	32083287	32098119
PEF1	32102980	1	32095463	32110497
COL16A1	32143884	1	32117848	32169920
BAI2	32211177	1	32192716	32229638
ADGRB2	32211606	1	32192718	32230494
SPOCD1	32268837.5	1	32256023	32281652
PTP4A2	32391239.5	1	32372022	32410457
AL136115.1	32379959.5	1	32379174	32380745
KHDRBS1	32502940.5	1	32479430	32526451
RP11-277A4.4	32528483.5	1	32517890	32539077
TMEM39B	32553049.5	1	32537632	32568467
KPNA6	32607904	1	32573639	32642169
TXLNA	32654586.5	1	32645287	32663886
CCDC28B	32668487.5	1	32665987	32670988
IQCC	32672775	1	32671262	32674288
DCDC2B	32678246	1	32674695	32681797
TMEM234	32684016.5	1	32680073	32687960
EIF3I	32692367	1	32687529	32697205
FAM167B	32713645.5	1	32712834	32714457
LCK	32734303	1	32716840	32751766
HDAC1	32778461.5	1	32757687	32799236
MARCKSL1	32800706.5	1	32799433	32801980
TSSK3	32823517.5	1	32817122	32829913
FAM229A	32828375	1	32826871	32829879
BSDC1	32845518	1	32830704	32860332
AL033529.1	32998525.5	1	32930658	33066393
ZBTB8B	32946478.5	1	32930670	32962287
ZBTB8A	33038284	1	33005028	33071540
ZBTB8OS	33091138.5	1	33065773	33116504
RBBP4	33134277.5	1	33116743	33151812
SYNC	33157579	1	33145961	33169197
KIAA1522	33224028.5	1	33207486	33240571
YARS	33262296	1	33240838	33283754
S100PBP	33303424	1	33282368	33324480
FNDC5	33332976	1	33327869	33338083
HPCA	33357818.5	1	33351595	33364042
TMEM54	33363617	1	33360195	33367039
RNF19B	33416166	1	33402046	33430286
FKSG48	33439455	1	33439268	33439642
AK2	33510069	1	33473541	33546597
AZIN2	33566418	1	33546705	33586131
ADC	33566354.5	1	33546712	33585997
TRIM62	33629331.5	1	33611003	33647660
ZNF362	33744233	1	33722146	33766320
A3GALT2	33779533	1	33772367	33786699
PHC2	33842938.5	1	33789224	33896653
ZSCAN20	33950176.5	1	33938246	33962107
CSMD2	34305521	1	33979599	34631443
HMGB4	34328234	1	34326076	34330392
C1orf94	34658608	1	34632484	34684732
SMIM12	35251877.5	1	35178338	35325417
GJB5	35222380.5	1	35220648	35224113
GJB4	35227333.5	1	35225342	35229325
GJB3	35249380	1	35246790	35251970
GJA4	35259973.5	1	35258599	35261348
DLGAP3	35363111.5	1	35331037	35395186
AC114490.3	35445435.5	1	35439957	35450914
AC114490.2	35472238	1	35447134	35497342
ZMYM6NB	35449045	1	35447134	35450956
TMEM35B	35449045	1	35447136	35450954
ZMYM6	35474667.5	1	35451766	35497569
ZMYM1	35539616.5	1	35497773	35581460
SFPQ	35650364	1	35641979	35658749
ZMYM4	35811113.5	1	35734568	35887659
KIAA0319L	35961321	1	35899091	36023551
NCDN	36027974.5	1	36023074	36032875
TFAP2E	36049950	1	36038971	36060929
PSMB2	36086295	1	36065145	36107445
C1orf216	36182274.5	1	36179476	36185073
CLSPN	36210693.5	1	36185819	36235568
AGO4	36298632	1	36273773	36323491
AGO1	36365769	1	36335409	36396129
AGO3	36467210	1	36396319	36538101
TEKT2	36551776	1	36549676	36553876
ADPRHL2	36557004.5	1	36554476	36559533
COL8A2	36575829	1	36560837	36590821
TRAPPC3	36611912.5	1	36602171	36621654
MAP7D1	36633815	1	36621180	36646450
THRAP3	36730487.5	1	36690017	36770958
SH3D21	36781237.5	1	36771988	36790487
EVA1B	36788693.5	1	36787632	36789755
STK40	36828361	1	36805225	36851497
LSM10	36860166	1	36856839	36863493
OSCP1	36898740	1	36881428	36916052
MRPS15	36925678.5	1	36921319	36930038
CSF3R	36940261.5	1	36931644	36948879
GRIK3	37380429	1	37261128	37499730
RP5-1180C18.1	37759520.5	1	37728338	37790703
ZC3H12A	37945066.5	1	37940153	37949980
MEAF6	37969275.5	1	37958176	37980375
SNIP1	38009997.5	1	38000050	38019945
DNALI1	38027489	1	38022520	38032458
GNL2	38046976.5	1	38032417	38061536
RSPO1	38088773	1	38076951	38100595
C1orf109	38152581.5	1	38147242	38157921
CDCA8	38166740.5	1	38158090	38175391
EPHA10	38205178.5	1	38179552	38230805
MANEAL	38263141.5	1	38259474	38266809
YRDC	38271236.5	1	38268616	38273857
C1orf122	38273888.5	1	38272651	38275126
MTF1	38300265.5	1	38275239	38325292
AL929472.1	38293059	1	38292232	38293886
INPP5B	38369549	1	38326369	38412729
SF3A3	38439620	1	38422647	38456593
FHL3	38466860	1	38462442	38471278
UTP11	38482713	1	38474930	38490496
UTP11L	38484455	1	38478412	38490498
POU3F1	38511374.5	1	38510283	38512466
RP5-884C9.2	38542196	1	38512984	38571408
RRAGC	39314682.5	1	39303870	39325495
MYCBP	39334206.5	1	39328636	39339777
GJA9-MYCBP	39338731	1	39330173	39347289
GJA9	39343691	1	39340123	39347259
RHBDL2	39379475	1	39351479	39407471
AKIRIN1	39464313	1	39456895	39471731
NDUFS5	39496149	1	39491990	39500308
MACF1	39749918.5	1	39546988	39952849
KIAA0754	39879152.5	1	39876149	39882156
BMP8A	39974462.5	1	39957318	39991607
PABPC4	40034475	1	40026488	40042462
HEYL	40097721	1	40089825	40105617
NT5C1A	40131251.5	1	40124793	40137710
HPCAL4	40150840.5	1	40144320	40157361
PPIE	40193720	1	40157854	40229586
BMP8B	40238693.5	1	40222854	40254533
OXCT2	40236107.5	1	40235195	40237020
TRIT1	40326482.5	1	40303782	40349183
MYCL	40364513	1	40361098	40367928
MFSD2A	40428212	1	40420784	40435640
CAP1	40522113	1	40505905	40538321
PPT1	40550266	1	40537133	40563399
RLF	40666819	1	40627045	40706593
TMCO2	40714491	1	40711619	40717363
ZMPSTE24	40741817.5	1	40723779	40759856
COL9A2	40774822	1	40766159	40783485
SMAP2	40849760	1	40810522	40888998
ZFP69B	40922582	1	40915774	40929390
ZFP69	40952451	1	40942887	40962015
EXO5	40978320.5	1	40974413	40982228
ZNF684	41005537	1	40997233	41013841
RIMS3	41108840	1	41086351	41131329
RP4-739H11.3	41144010.5	1	41134759	41153262
NFYC	41197297.5	1	41157320	41237275
KCNQ4	41277805	1	41249486	41306124
CITED4	41327380.5	1	41326723	41328038
CTPS1	41461622	1	41445007	41478237
SLFNL1	41485089	1	41481269	41488909
SCMH1	41600349	1	41492872	41707826
RP11-399E6.1	41729390	1	41708245	41750535
FOXO6	41838428	1	41827594	41849262
EDN2	41947395	1	41944446	41950344
HIVEP3	42236816	1	41972036	42501596
AC119676.1	42072732	1	42050977	42094487
GUCA2B	42620293.5	1	42619092	42621495
GUCA2A	42629375.5	1	42628362	42630389
FOXJ3	42721879	1	42642210	42801548
RIMKLA	42867357.5	1	42846466	42888249
ZMYND12	42908969	1	42896000	42921938
PPCS	42930422	1	42921788	42939056
CCDC30	43024668	1	42929001	43120335
